name,artist,from_date,to_date,location,description,borough,lat,lng,active
A View from the Lunch Table: Students Bringing Issues to the Table,LeAp,2015-06-01,2015-09-13,Various Locations,"<p>Students  from ten New York City public middle schools, with two schools representing  each borough, have transformed school lunchroom tables into personalized  canvases and created colorful works of public art that touch upon critical  social issues in their community and across the globe. The tables, which have  been installed in ten community parks across the five boroughs, are a way of  giving young teens the chance to voice their opinions and reach out to the  public in hopes of inspiring social change through their art. This exhibition  was created by LeAp&rsquo;s Public Art Program in cooperation with NYC Parks and  marks the largest student exhibition in the history of NYC Parks and the first  to span five boroughs. The program has included visits with distinguished  artists such as Jenny Holzer, Crash, Kehinde Wiley, Emma Amos, Christo, and  Lorna Simpson among many others. For 34 years, LeAp (Learning through an  Expanded Art Program) has provided arts&ndash;based education to over two million  students K-12 throughout New York City.</p>
<p> Artworks  can be found through September in Seward Park and Morningside Park in  Manhattan, Fort Four Playground and Crotona Park in the Bronx, Washington Park  and Tiger Playground in Brooklyn, Juniper Valley Park, Forest Park (Dry Harbor  Playground), in Queens, and Silver Lake Park and Snug Harbor Cultural Center in  Staten Island.</p>
<p>This  exhibition is presented by <a href=""http://leapnyc.org/"">LeAp</a>. </p>
<p><a href=""http://leapnyc.org/images/tables%20map%202015.jpg"">View a map of all of the LeAp installations</a> </p>",c,,,1
"All Consuming, Flow.15 Art and Music at Randall's Island",Nicholas Fraser,2015-05-01,2015-11-30,,"<p>Nicholas Fraser&rsquo;s <em>All Consuming </em>resembles  a typical city distance sign with two critical deviations; the names  represented on the sign are extinct cities and are constructed out of compacted  birdseed. The words are placed between metal grates and are intended to be  continually consumed by wildlife for the duration of the exhibition. As time  progresses the characters will become indefinable forms, similar to ruins of  cities uncovered by archaeologists. </p>
<p> Located on the southern shoreline of Randall&rsquo;s Island Park, the  sculpture is continually in flux, evoking the cyclical nature of cities by  harnessing natural processes to visually echo decay and ephemerality. Fraser  uses the names of cities from a wide range of cultures and draws attention to  the resilience of cultural heritage and its ability to survive through the  being adopted by direct descendants.</p>
<p> <a href=""http://www.flowartnyc.org/"">FLOW.15</a> is presented by <a href=""http://randallsisland.org"">Randall&rsquo;s  Island Parks Alliance</a>, <a href=""http://www.bronxmuseum.org/"">The Bronx Museum of the Arts</a>, and <a href=""http://www.madeevent.com/"">Made  Event</a>. </p>",M,40.7968,-73.922,1
"hello, Flow.15 Art and Music at Randall's Island",Sharon Ma,2015-05-01,2015-11-30,,"<p>Located at the touchdown of the 103rd Street pedestrian bridge from  Manhattan, Sharon Ma&rsquo;s <em>hello</em> welcomes and celebrates the neighbors of Randall&rsquo;s  Island Park by highlighting the enthusiasm and warmth generated by this simple  word. Comprising five ten-foot-tall letters planted with succulent plants, this  living, vertical garden functions as the &ldquo;voice&rdquo; of the landscape, calling to  all who pass. Ma&rsquo;s goal is to invite photography with the piece, extending the  medium into a public space and a larger scale in order to record and share  visitor interaction. Ma&rsquo;s <em>hello</em> invokes familiar &ldquo;Greetings from ...&rdquo; postcards of a  previous era, and calls upon us to create and share our own digital messages  with Randall&rsquo;s Island Park as background.</p>
<p> <a href=""http://www.flowartnyc.org/"">FLOW.15</a> is presented by <a href=""http://randallsisland.org"">Randall&rsquo;s  Island Parks Alliance</a>, <a href=""http://www.bronxmuseum.org/"">The Bronx Museum of the Arts</a>, and <a href=""http://www.madeevent.com/"">Made  Event</a>. </p>",M,40.7968,-73.922,1
"Etherwave Architecture #1, Flow.15 Art and Music at Randall's Island",David Wilson,2015-05-01,2015-11-30,,"<p>David Wilson&rsquo;s <em>Etherwave Architecture #1</em> is inspired by the social,  political and spatial transformation of Randall&rsquo;s Island Park from &ldquo;dumping  ground&rdquo; for institutional uses into a lush park where citizens choose to spend  leisure time. The structure mimics objects and materials normally associated  with urban defensive architecture, such as wrought iron spiked guards and  fences, subverting their original meaning and context by directly and  specifically inviting interaction. </p>
<p> The iron and steel elements in <em>Etherwave Architecture #1</em> function as an engineered  Theremin, acting as antennas that control sound oscillators. The sizes and  shapes of the different elements allow approach from all around so that visitor  movement, exploration and interaction directly produces a range of sounds.  Through active engagement with these defensive structures, Wilson hopes to  bring awareness to the dilemmas surrounding public spaces, while playfully  appropriating objects that make up oppressive design practices.</p>
<p> <a href=""http://www.flowartnyc.org/"">FLOW.15</a> is presented by <a href=""http://randallsisland.org"">Randall&rsquo;s  Island Parks Alliance</a>, <a href=""http://www.bronxmuseum.org/"">The Bronx Museum of the Arts</a>, and <a href=""http://www.madeevent.com/"">Made  Event</a>. </p>",M,40.7968,-73.922,1
"El Barrio Comes in All Colors, Shapes and Sizes, Flow.15 Art and Music at Randall's Island",Rica Takashima,2015-05-01,2015-11-30,,"<p>Rica Takashima&rsquo;s <em>El Barrio Comes in All Colors, Shapes and Sizes</em> blends her  Manga aesthetic with Puerto Rican colors and motifs inspired by the artist&rsquo;s  exploration of East Harlem&rsquo;s El Barrio, which is located across the 103rd  Street pedestrian bridge from Randall&rsquo;s Island Park. This female figure,  constructed of brightly painted wood, intends to invite visitors to sit and  gaze with her across the Harlem River. </p>
<p> She is surrounded by smaller structures that reflect buildings  containing her past, present and future life in <em>El Barrio</em>: her birthplace;  a caf&eacute; she owns and operates in the neighborhood; and the home of her dream  child of the future. A native of Japan, Takashima is inspired by the residents  and history of <em>El  Barrio</em>, and by the intersection of personal and political action.  Her piece invites visitors to join in exploration and appreciation of the  vibrant community just opposite the Park&rsquo;s shoreline.</p>
<p> <a href=""http://www.flowartnyc.org/"">FLOW.15</a> is presented by <a href=""http://randallsisland.org"">Randall&rsquo;s  Island Parks Alliance</a>, <a href=""http://www.bronxmuseum.org/"">The Bronx Museum of the Arts</a>, and <a href=""http://www.madeevent.com/"">Made  Event</a>. </p>",M,40.7968,-73.922,1
Pop-Up Pianos,Sing for Hope,2015-06-05,2015-06-21,Various Locations,"<p>This summer, from June 5th through June 21st, the Sing for  Hope Pianos return to our city streets. In one of New York City&rsquo;s most vibrant  public art installations, 50 artist-designed pianos are placed in parks and  public spaces throughout the 5 boroughs for anyone and everyone to enjoy.</p>
<p>Once on the streets, neighborhood associations and community  organizations serve as &ldquo;piano buddies&rdquo; and supervise each piano throughout the  duration of the project, making sure they are protected from inclement weather.  The Sing for Hope Pianos unite our city, as artists from all walks of life  create daily spontaneous concerts and neighborhoods come together around the  shared gift of music and art.</p>
<p>For more information and a list of locations visit <a href=""http://www.singforhope.org/"">Sing for Hope&rsquo;s Pop-Up Pianos website</a>. </p>",c,,,1
"Who Owns the Sky&Alpha;, Flow.15 Art and Music at Randall's Island",Rob Swainston,2015-05-01,2015-11-30,,"<p>Installed along Randall&rsquo;s Island Park&rsquo;s southeastern shoreline, Rob  Swainston&rsquo;s <em>Who  Owns the Sky</em><em> is</em> a  large-scale semi-transparent billboard, hand-printed with images of clouds  inspired by historic woodcuts and engravings of sky motifs. The viewer can  observe their constantly shifting relation to cloud patterns both alongside the  frame and behind the translucent fabric. These shifts, according to the artist,  evoke and recreate the human quest for direction and meaning in the heavens.</p>
<p>  Ownership of the heavens was left to the gods, as depicted in myths,  described through religions, and displayed in art. However, with the advent of  aerospace technology, constellations have ceded their dominion to planes,  no-fly zones and drones. Globalization and global climate change further  complicate this story. <em>Who Owns the Sky&Alpha;</em> questions our attempt to assert power over  a firmament in which our presence remains transient.</p>
<p><a href=""http://www.flowartnyc.org/"">FLOW.15</a> is presented by <a href=""http://randallsisland.org"">Randall&rsquo;s  Island Parks Alliance</a>, <a href=""http://www.bronxmuseum.org/"">The Bronx Museum of the Arts</a>, and <a href=""http://www.madeevent.com/"">Made  Event</a>. </p>",M,40.7968,-73.922,1
Oh Sit! 14 Sculptors Consider the Chair,14 Sculptors,2015-06-06,2015-11-08,,"<p>Located along  the esplanade leading up to the recently opened High Bridge, <em>Oh Sit! 14 Sculptors Consider the Chair</em> is a group exhibition of nine artists&rsquo; public artworks. In a frantic world,  finding a chair can be almost impossible and settling comfortably into one can  be an enormous satisfaction. Sitting in the wrong seat can cause anxiety and an  even pain. Exhibiting artists Dan Bergman, Allan Cyprys, Robert Dell, Gregoire  Ferland, Esther Grillo, Christina Jorge, Siena Gillann Porta, Herb Rosenberg  and Chuck von Schmidt respond imaginatively to the notion of sitting or using a  chair. <em>Oh Sit!</em> is framed as an  imperative, a command&mdash;a way of asking the viewer to look and really consider  the concept &ldquo;chair&rdquo; both objectively and subjectively.  </p>
<p><a href=""http://www.14sculptors.com/"">14 Sculptors</a> is a group of professional  artists who have been actively exhibiting throughout the metropolitan area,  creating a forum for experimental sculpture and principally installation  artworks free from the constraints of a commercial viewpoint.  This non-profit tax exempt organization has  been functioning under the auspices of the New York Foundation for the Arts for  the past 42 years.</p>
<p>This  exhibition is sponsored by the <a href=""https://www.nyfa.org/"">New York  Foundation for the Arts</a> and the <a href=""http://www.rockawayartistsalliance.org/"">Rockaway Artist Alliance</a>.</p>",M,,,1
Calatrava on Park Avenue,Santiago Calatrava,2015-06-08,2015-11-01,,"<p>Seven monumental sculptures represent the  artist&rsquo;s continued exploration of expressive forms and structure abstracted  from nature. In the artist&rsquo;s own words, &ldquo;their relation to the natural world  suggests a link between man and nature, implying the sculptures are found  objects in a human forest.&rdquo;</p>
<p>Santiago Calatrava&rsquo;s work continues to shape and  redefine the boundaries that have historically separated the visual arts, particularly  sculpture, from architecture and engineering. Two of the new works, <em>S2</em> and <em>S3</em>, are complex tension compression structures wherein each element  is held in place through the utilization of very fine, almost invisible  cables.&nbsp; Calatrava&rsquo;s intention is for the sculptures to &ldquo;simply grow from  the ground. Within each sculpture, an internal logic of autonomy delivers  lyrical forms and implies a sense of elevation and spiritual uplifting.&rdquo;  Santiago Calatrava builds basswood models to evaluate the aesthetic and  structural characteristics of each work before moving to full-scale metal sculptures.&nbsp;  The largest of these,<em> S1</em>, is 40&rsquo; across and approximately 20&rsquo; tall. From  the side, its rib-like structure appears as a thin arched line. When  approached, the massive layered roof reveals its architectonic depth. As a  whole, these works express a unified aesthetic anchored in the artist&rsquo;s  continuing exploration of the relationship between the origins of creativity  and the evolutionary structure of the natural world.</p>
<p>This exhibition is presented by the <a href=""http://www.fundforparkavenue.org/"">Fund for Park Avenue</a> and <a href=""http://www.marlboroughgallery.com/"">Marlborough Gallery</a>. </p>",M,,,1
"Oracle of the Past, Present and Future",Jorge Luis Rodriguez,2015-06-06,2016-05-01,,"<p><em>The Oracle of the Past, Present and  Future </em> is a 12-foot-tall structure that consists of  geometric interlocking parts with elements of steel, wood, glass, and a  magnificent dome that adds to its mystical symbolism. The work is inspired by  the study of celestial bodies: the influence of the sun, moon, planets and  zodiac constellations on human affairs and the natural world. Rodriguez invites  the public to consider the mysteries of astrology and engage in contemplation  and inner reflection while walking through the sculpture. The sculpture is  located on the lawn just inside Tompkins Square Park at St. Mark&rsquo;s Place and  Avenue A.</p>
<p>In  addition to the installation at Tompkins Square, four sculptures will accompany  his permanent sculpture <em>Growth</em> at the  East Harlem Art Park at 120th Street and Sylvan Place. &quot;I have tried to  capture the interaction between trees, birds, insects, flowers, and man. My  sculpture may portray a seed sprouting from the ground, an insect transforming  into a flower, or a bird changing into a tree. I hope to create an art piece  that will serve as a source of enjoyment and inspiration to the community,&rdquo;  stated Rodr&iacute;guez about <em>Growth</em> in 1985. These additional  artworks echo his original concept as they emerge from different areas of the  park.</p>
<p><em>The Oracle of the Past, Present and  Future </em>in the East  Village and <em>Birdhouse, Fish Spine,  Hummingbird </em>and<em> Palenque</em> in  Harlem celebrate the 30th Anniversary of <em><a href=""http://www.nyc.gov/html/dcla/html/panyc/rodrigue.shtml"">Growth</a></em>,  Rodr&iacute;guez&rsquo;s large-scale, permanent work that was New York City&rsquo;s first  completed Percent for Art commission. </p>",M,,,1
Sky Feather,Petros Chrisostomou,2015-06-11,2016-06-10,,"<p>Petros Chrisostomou&rsquo;s sculpture <em>Sky Feather</em>, Located at the Riverside Park Bird Sanctuary at 116th  Street, aims to bring awareness to this vibrant, natural bird community.&Atilde;&Alpha;&Acirc;  <em>Sky  Feather</em>, formerly exhibited at 124th Street and Lennox Avenue, will act as  a meeting point in the park and a point of discussion amongst park visitors and  birders. Though feathers appear fragile and weightless, sculpture was  fabricated with stained and sealed birch plywood and stands at 12 feet  tall.&Atilde;&Alpha;&Acirc;  He notes that a feather is the  symbolic remains of a journey or flight. Bird migration gracefully parallels  the journey taken by people around the world. The diversity of New York City  makes it an interesting and fertile arena for this homage to cultural diversity  and migration. He also hopes that the sculpture will draw people from other  neighborhoods to the park, adding an additional layer of movement. </p>
<p>The Riverside Park Bird Sanctuary runs from 116th Street to  124th Street. Since 1997, the approximately 10 acres of the Sanctuary have been  undergoing reforestation, and over 3,000 plants have been added. In the last  thirty years 177 species of birds have been seen in or around the Sanctuary,  with a yearly average of about 120 species. Visitors can expect to see the blue  grosbeak, summer tanager, hooded warbler, mourning warbler and nine species of  sparrows, among others. For more information on the Bird Sanctuary and optimal  birding times visit NYC Audubon&rsquo;s <a href=""http://www.nycaudubon.org/manhattan-birding/riverside-park"">website</a>. </p>
<p>Summer on the Hudson, the NYC Parks&rsquo; annual outdoor arts and  culture festival in Riverside Park, will organize an artist talk with  Chrisostomou and a bird walk in conjunction with this exhibition. Program dates  will be listed on the Summer on the Hudson <a href=""http://www.nyc.gov/parks/soh"">website</a>. </p>
<p>This exhibition was kindly supported by the <a href=""https://riversideparknyc.org/"">Riverside Park Conservancy</a> and the <a href=""http://www.iscp-nyc.org/"">International Studio &amp; Curatorial Program  (ISCP)</a>.</p>",M,40.808884,-73.965985,1
Model to Monument (M2M),Art Students League,2015-06-11,2016-05-15,,"<p>The Art Students League of New York,  one of America&rsquo;s premier art schools, presents the Model to Monument Program  (M2M), a collaboration with the New York City Department of Parks &amp;  Recreation that has culminated in the installation of seven sculptures on view  along Riverside Park South from 59th to 69th Streets. </p>
<p>  The sculptures were created by an  international team of selected League students during a nine-month program. The  pieces for this exhibition explore <em>Patterns  in Nature</em>. The artists are: The sculptors participating in the fifth  year of the M2M program are Lee Apt (<em>Jubilation!),</em>  Caroline Bergonzi (<em>Metamorphosis</em>), Kate Jansyn (<em>Fragment of an Angel</em>), Sukyung Kim  (<em>Flow  1 &ndash; Cascade</em>), Donat King (<em>Man and  Fish</em>), Paola Morales (<em>Thrive</em>),  and Ken Shih  (<em>Can  love pervade space</em>&Alpha;). The collaborative sculpture in Van Cortlandt Park,  Bronx for 2015 is entitled <em>Gift of Life</em>.</p>
<p>  This work was made possible by the <a href=""http://www.nycgovparks.org/exit&Alpha;url=http%3A//www.theartstudentsleague.org/ExhibitionOutreach/ModeltoMonumentProgram.aspx"">Art Students League&rsquo;s Model to Monument Program</a> and the <a href=""https://riversideparknyc.org/"">Riverside  Park Conservancy</a>. </p>",M,,,1
The Typewriter Project,The Poetry Society of New York,2015-06-15,2015-07-19,,"<p><em>The Typewriter Project</em> is an interactive literary art installation&ndash;a small, wooden shelter just big  enough for a seat, desk, and typewriter&ndash;which invites passersby to join in a  citywide linguistic exchange that takes both analog and digital forms. The  booth is outfitted with a vintage typewriter, 100&ndash;foot long paper scroll, solar  generator, hidden tablet, and a custom&ndash;built USB typewriter kit, which allows  every written entry to be collected, stored, and posted online for users to  read, share, and comment upon. Acting as a public, community diary, each scroll  will capture something of the sound, narrative, and nuance of a specific corner  of the city. <em>The Typewriter Project&rsquo;s</em> mission is to investigate, document, and preserve the poetic subconscious of  the city while providing a fun and interactive means for the public to engage  with poetry.</p>
<p>  The project is located on the south side of Tompkins Square Park  near the Hare Krishna Tree. The project&rsquo;s hours of operation are Monday&ndash;Friday,  3 p.m.&ndash;8 p.m., and Saturday &amp; Sunday, 12 p.m.&ndash;8 p.m.</p>
<p>  This exhibition is presented by <a href=""http://www.poetrysocietyny.org/"">The Poetry Society of New York</a>.</p>",M,40.726374,-73.98182,1
Right Here and Then,Scribble Art Workshop,2015-06-15,2015-07-13,,"<p><em>Right Here and Then</em> is an  exhibition of 12 plaster sculptures created by students from grades 5-8 from  local public schools. Students explored the relationship between object and  self in studying historical items from the museum and connected this concept to  their own belongings through observational drawing. In their final pieces, they  worked to transform themselves into 3-D objects installed on the grounds of the  museum.</p>
<p>This exhibition is presented by <a href=""http://www.scribbleartworkshop.com/"">Scribble Art Workshop</a> and <a href=""http://www.dyckmanfarmhouse.org/"">The Dyckman Farmhouse</a> <a href=""http://www.dyckmanfarmhouse.org/"">Museum  Alliance</a>.</p>",M,,,1
Suspect Terrain,Heide Fanacht,2015-05-17,2015-08-30,,"<p>Through her latest public artwork, titled <em>Suspect Terrain</em>, Heide Fasnacht  details the creation and aftermath of a sinkhole. In Fasnacht&rsquo;s vision, the  particularities of fragmentation span 50-feet above ground and are detailed in  painted plywood &ndash; a stand-in for the cement, asphalt, and rock substrate that  the sculpture maps. Fasnacht&rsquo;s surface was inspired by striking media coverage  and documentation of massive sinkholes. By sculpturally depicting these  devastating geological occurrences, Fasnacht turns the relationship between  event and documentation into a personal and precarious action.</p>
<p> At Socrates Sculpture Park, the artist extends beyond the  sinkhole&rsquo;s composition to question assumptions about the built environment,  including the park itself. At the bottom of <em>Suspect Terrain</em> lies a house half-submerged in a pool of  illusionistic water, an allegory using the language of geological events that  simultaneously explores the park&rsquo;s unique history as an illegal dumpsite and  landfill.</p>
<p> This exhibition is presented by the <a href=""http://socratessculpturepark.org/"">Socrates Sculpture Park</a></p>",Q,40.76844,-73.936467,1
Degas Horses,Vera Lutter,2015-05-17,2015-08-30,,"<p><em>Degas Horses</em> by  artist Vera Lutter is the newest installment of the park&rsquo;s ongoing &ldquo;Broadway Billboard&rdquo; series. During this program the Socrates Sculpture Park commissions  artists to create a billboard image that spans the main entrance of the park  and offers a unique platform for exhibiting two-dimensional media. At least  twice annually (spring and fall), Socrates installs a new work on the 11&quot;x 28&quot;billboard, which can be seen nearly a mile away on Broadway in Long Island City.</p>
<p>Internationally acclaimed photographer Vera Lutter creates ghostly  images of subjects as varied as urban centers, abandoned factories, ancient  monuments, and natural forests. Like much of her work, <em>Degas Horses</em> was taken using a &ldquo;camera obscura&rdquo; &ndash; a centuries-old  optical device that uses light entering through a small hole into a darkened  chamber to slowly capture an image of its subject.</p>
<p>This exhibition is presented by the <a href=""http://socratessculpturepark.org/"">Socrates Sculpture Park</a></p>",Q,40.76844,-73.936467,1
Two Trees in Balance,Gabriela Albergaria,2015-05-17,2015-08-30,,"<p>Gabriela Albergaria has erected a 10-foot concrete wall  adorned with two suspended trees for her piece <em>Two Trees in Balance</em> at Socrates Sculpture Park. Albergaria is  interested in examining and deconstructing the cultural and social beliefs  surrounding images of the natural. </p>
<p>As part of her installation Albergaria has meticulously  reconstructed dozens of branches and tree stumps salvaged from across New York  City into two new trees, which she suspends diagonally off of the ground from a  steel cable. Each tree hovers in-between the wall and the earth, poised in a  precarious state by their own equal weight. Visually the piece implies  suspended movement &ndash; simultaneous growth and decay &ndash; and the effort required to  maintain that balance. With <em>Two Trees in Balance</em>, the artist manipulates  preconceived expectations of what the natural should look like, as well as the  fictional beliefs that we use to conjure the natural world.</p>
<p>This exhibition is presented by the <a href=""http://socratessculpturepark.org/"">Socrates Sculpture Park</a></p>",Q,40.76844,-73.936467,1
The Living Pyramid,Agnes Denes,2015-05-17,2015-08-30,,"<p>Agnes Denes adds life to the city&rsquo;s skyline with a curving  pyramid on the Socrates Sculpture Park&rsquo;s East River waterfront in Long Island  City, Queens. <em>The Living Pyramid</em>,  Denes&rsquo;s new large-scale, site-specific earthwork spans 30 feet at its  four-sided base and ascend 30 feet high, created from several tons of soil and  planted grasses.</p>
<p>Commissioned by Socrates Sculpture Park, <em>The Living Pyramid</em> is the artist&rsquo;s first  major public artwork in New York City in three decades since her iconic urban  intervention, Wheatfield &ndash; A Confrontation in 1982. Her work is the product of  a fiercely intellectual and distinctive study of semiotics, epistemology,  mathematics, history, and ecology, which are grounded in philosophical inquiry  and social observation.</p>
<p>This exhibition is presented by the <a href=""http://socratessculpturepark.org/"">Socrates Sculpture Park</a></p>",Q,40.76844,-73.936467,1
Torqueing Spheres,IK Studio,2015-05-17,2015-08-30,,"<p>IK Studio won this year&rsquo;s Folly Program competition with  their innovative proposal <em>Torqueing  Spheres</em>. This work transforms a series of intertwining, sculpted forms into  a meandering curved folly that encourages social interaction.</p>
<p><em>Torqueing Spheres</em> features eight plywood domes, ranging from adult to child-size. The plywood is  shaped by a particular cold-bending method, without the use of steam or  kerfing. Assembled into their domes, two properties emerge: sound reflected as  echo, and movement of the panels from humidity and weather. As the wood&rsquo;s fibers  absorb and lose moisture over different weather conditions, the bent panels are  predefined to close and open in their particular directions.</p>
<p>This exhibition is presented by the <a href=""http://socratessculpturepark.org/"">Socrates Sculpture Park</a> and <a href=""http://archleague.org/"">the  Architectural League</a></p>",Q,40.76844,-73.936467,1
"Birdhouse, Fish Spine, Hummingbird and Palenque",Jorge Luis Rodriguez,2015-06-20,2016-05-30,,"<p><em>Birdhouse</em>, <em>Fish Spine</em>, <em>Hummingbird</em> and <em>Palenque</em> are Rodriguez&rsquo;s early  works that are on view for the first time. He created these works shortly after <em>Growth </em>with scrap metal from the  metal shop where his permanent work was fabricated. They equally represent Rodr&iacute;guez&rsquo;s interest in nature and the cultural  exchange derived from travel to different countries. They are fabricated in  painted welded steel, one of his favored techniques, and stand between seven  and nine feet tall. </p>
<p><em>Birdhouse</em> was inspired by Pablo Neruda&rsquo;s  poem &ldquo;<em>Las aves maltratadas</em>,&rdquo;  (&ldquo;The Brutalized Birds&rdquo;) references the conduct of birds that  assemble en masse in public places. <em>Fish  Spine</em> references Rodr&iacute;guez&rsquo;s recollection of fishing  adventures in the Caribbean Sea with his brother. 
  The symbiotic  relationship between fauna and flora is captured in <em>Hummingbird.</em> <em>Palenque</em> is inspired by Mayan architectural devices used to record the passing of  celestial events. </p>
<p>In  addition to the installation at East Harlem Art Park, Rodriguez&rsquo;s sculpture The  Oracle of the Past, Present and Future is on view at Tompkins Square. The  Oracle of the Past, Present and Future in the East Village and Birdhouse, Fish  Spine, Hummingbird and Palenque in Harlem celebrate the 30th Anniversary of <a href=""http://www.nyc.gov/html/dcla/html/panyc/rodrigue.shtml"">Growth</a>,  Rodr&iacute;guez&rsquo;s large-scale, permanent work that was New York City&rsquo;s first completed  Percent for Art commission. </p>",M,40.801016,-73.938822,1
caesura: a forum,"Jessica Feldman, Jerome W Haferd & K Brandt Knapp",2015-06-20,2016-04-15,,"<p>Located on the Acropolis of Marcus Garvey Park, <em>caesura: a forum</em>  by artist  Jessica Feldman and architects Jerome W Haferd &amp; K Brandt Knapp is inspired  by the park&rsquo;s iconic antebellum Mount Morris Fire Watchtower, and by Harlem&rsquo;s  vibrant tradition of activism and rallies. The bell is silent now, as the tower  was temporarily dismantled in 2015 as the first phase for its reconstruction.  Simultaneously, Harlem is undergoing dynamic change and New York City is  experiencing a resurgence of public culture. caesura seeks to temporarily fill  an architectural gap &ndash; and create a social space &ndash; by echoing and inverting the  form and function of the absent tower. Like the bell, caesura aims to call up  the neighborhood, to preserve and revitalize Harlem&rsquo;s histories, and to connect  newer and older community members to each other, by reactivating this site for  congregation, viewing, and listening. The installation will reframe history  with a temporary structure and sound. A &ldquo;caesura&rdquo; is a break or pause, a place  to catch your breath, most specifically in ancient spoken-word art. </p>
<p>The architectural component of this piece begins at the Acropolis  ground as an open-air, steel frame that supports a &ldquo;horizontal tower&rdquo;, which  the viewer can pass through and meander under. In the center of the piece, a  flattened &ldquo;bell&rdquo; made of reflective steel. </p>
<p>The sonic component of the piece consists of Feldman&rsquo;s interactive  composition, made up of bell sounds and voices. Historical and contemporary  recordings and live-streaming voices from speeches, rallies, chants, and  assemblies in Harlem are alternated with a through-composed layer of echoing  bells. Analogous to a megaphone, the formal profile of the tower has been  tipped sideways, allowing sound to be projected outward. Taut, translucent film  runs through this shape and is mounted with electromagnetic transducers that  turn the material into a speaker, allowing sound to pour down from the spaces  in between the arches above visitors. A microphone mounted at the entrance to  the installation allows visitors to broadcast their own voices through the  piece. Those not present can participate through an interactive online  component, allowing them to trigger the bell and contribute their own live  audio to the arches. New and old histories are recorded, spliced, and digitally  scripted together, activating the acropolis throughout the day.</p>
<p>This exhibition is co-presented with the Harlem Arts Festival, Marcus  Garvey Park Alliance, and Mount Morris Park Community Improvement Association  (MMPCIA). </p>",M,40.804446,-73.943508,1
Studio in the Park: The Queens Museum-ArtBuilt Mobile Studio Residency Program,,2015-06-15,2015-08-16,,"<p><em>Studio in the Park:  The Queens Museum-ArtBuilt Mobile Studio Residency Program</em> hosts two  residencies that provide visual artists the chance to work in a purpose-built  mobile studio space situated adjacent to the Museum in Flushing Meadows-Corona  Park.</p>
<p>  The first residency, running from June 15 through July 15,  has been awarded to The People&rsquo;s Design Laboratory (PDL), a project by Patrick  Rowe, in collaboration with Mobile Print Power.   The project will function as a research center for the development of  unique navigational park signage, a pressing challenge for the park, using collaborative  and participatory design strategies. The signage concepts developed at the PDL  will capture the spirit of the park and will be created by the park community  through a series of participatory events and open studio hours.  The signs will highlight the unique  vernacular aesthetics that thrive in a place as culturally diverse as  Queens.</p>
<p>The second residency, going from July 16 through August 16,  has been awarded to <em>A Collection of Walks</em>,  a project by Matthew Jensen.  The project  will incubate a new body of work that brings Jensen&rsquo;s process of walking,  collecting, and documenting to explore the landscapes and neighborhoods in and  around Flushing Meadows Corona Park.  New  York City parks have been a source of inspiration for Jensen over the past ten  years. Here in Queens, Jensen&rsquo;s walks through Flushing Meadows Corona Park will  yield a collection of objects, ephemera and natural detritus that will be  carefully arranged inside the mobile studio as a cabinet of curiosities, where  park-goers will be invited to experience the varied collections culled from  local landscapes. In the weeks following the residency Jensen will create a map  or &ldquo;walker&rsquo;s guide&rdquo; that the public can use as inspiration and guidance for  reexamining their neighborhood and seeing the familiar in a new light.</p>
<p>Additional information, including specific dates for project  events and open studio hours for A Collection of Walks, will be posted on the <a href=""http://www.queensmuseum.org/2015/06/the-queens-museum-artbuilt-mobile-studio-residency-program"">Queens  Museum&rsquo;s</a> website and social media channels.</p>
<p>This exhibition is presented by the <a href=""http://www.queensmuseum.org/"">Queens Museum</a> and <a href=""http://artbuiltmobilestudios.org/"">ArtBuilt</a>. </p>",Q,40.745873,-73.846772,1
"Water, Gift of life",The Art Students League of New York,2015-06-11,2016-06-10,,"<p>The Art Students League of New York, one of America&rsquo;s premier art schools, presents the Model to Monument Program (M2M), a collaboration with NYC Parks  that has culminated in the installation the sculpture, <em>Water, Gift of Life</em>, at Van Cortlandt Park. </p>
<p>In response  to this year&rsquo;s theme of Patterns in Nature, the artists created a sinuous steel  twisted sculpture. The fluke of a tail runs down like a rolling wave and  culminates to form the head of a water drop. The downward flow of the fish-wave  form echoes the landscape of the hill of the Van Cortlandt House Museum, which  drops quickly down a Southward hill, and the south-running Tibbett&rsquo;s Brook  through Van Cortlandt Park down to the City.</p>
<p>The shiny stainless-steel  sculpture reflects the park in a similar way that water&rsquo;s surface reflects the  surrounding trees. Additionally the sculpture is a nod to the water sources  that surrounds the piece&ndash;the Nature Center to the North which provides an  exploratory, scientific perspective of the parks ecosystems. To the West, the Pool is run with engineered water systems. By contrast, Van Cortland Lake is located to the east and wetlands to the south. </p>
<p>This collaborative installation was created by artists Lee Apt, Caroline Bergonzi, Kate Jansyn, Sukyung Kim, Donat King, Paola Morales, and Ken Shih.  The group also has works concurrently on view in Riverside South Park in Manhattan. </p>
<p>This exhibition is presented with the <a href=""http://theartstudentsleague.org/ModeltoMonument/M2MYearThree.aspx"">Art Students League</a>.</p>",X,40.88956,-73.897879,1
